time,D
2025-10-06 13:56:39.306543,0.0
2025-10-06 13:56:39.618596,0.0
2025-10-06 13:56:39.930644,0.0
2025-10-06 13:56:40.242681,0.0
2025-10-06 13:56:40.554731,0.0
2025-10-06 13:56:40.866775,0.0
2025-10-06 13:56:41.178820,0.0
2025-10-06 13:56:41.490871,0.0
2025-10-06 13:56:41.802913,0.0
2025-10-06 13:56:42.114959,0.0
2025-10-06 13:56:42.427010,0.0
2025-10-06 13:56:42.739060,0.0
2025-10-06 13:56:43.051097,0.0
2025-10-06 13:56:43.363150,0.0
2025-10-06 13:56:43.675190,0.0
2025-10-06 13:56:43.987241,0.0
2025-10-06 13:56:44.299288,0.0
2025-10-06 13:56:44.611339,0.0
2025-10-06 13:56:44.923380,0.0
2025-10-06 13:56:45.235425,0.0
2025-10-06 13:56:45.547468,0.0
2025-10-06 13:56:45.859522,0.0
2025-10-06 13:56:46.171566,0.0
2025-10-06 13:56:46.483616,0.0
2025-10-06 13:56:46.795662,0.0
2025-10-06 13:56:47.107706,0.0
2025-10-06 13:56:47.419750,0.0
2025-10-06 13:56:47.731798,0.0
2025-10-06 13:56:48.043844,0.0
2025-10-06 13:56:48.355895,0.0
2025-10-06 13:56:48.667937,0.0
2025-10-06 13:56:48.979989,0.0
2025-10-06 13:56:49.292026,0.0
2025-10-06 13:56:49.604076,0.0
2025-10-06 13:56:49.916128,0.0
2025-10-06 13:56:50.228175,0.0
2025-10-06 13:56:50.540215,0.0
2025-10-06 13:56:50.852280,0.0
2025-10-06 13:56:51.164301,0.0
2025-10-06 13:56:51.476351,0.0
2025-10-06 13:56:51.788402,0.0
2025-10-06 13:56:52.100440,0.0
2025-10-06 13:56:52.412490,0.0
2025-10-06 13:56:52.724542,0.0
2025-10-06 13:56:53.036587,0.0
2025-10-06 13:56:53.348629,0.0
2025-10-06 13:56:53.660681,0.0
2025-10-06 13:56:53.972722,0.0
2025-10-06 13:56:54.284768,0.0
2025-10-06 13:56:54.596846,0.0
2025-10-06 13:56:54.908871,0.0
2025-10-06 13:56:55.220909,0.0
2025-10-06 13:56:55.532959,0.0
2025-10-06 13:56:55.845001,0.0
2025-10-06 13:56:56.157047,0.0
2025-10-06 13:56:56.469110,0.0
