time,D
2026-01-20 03:00:37.069203,0.0
2026-01-20 03:00:37.381255,0.0
2026-01-20 03:00:37.693333,0.0
2026-01-20 03:00:38.005345,0.0
2026-01-20 03:00:38.317388,0.0
2026-01-20 03:00:38.629441,0.0
2026-01-20 03:00:38.941484,0.0
2026-01-20 03:00:39.253540,0.0
2026-01-20 03:00:39.565583,0.0
2026-01-20 03:00:39.877634,0.0
2026-01-20 03:00:40.189677,0.0
2026-01-20 03:00:40.501727,0.0
2026-01-20 03:00:40.813769,0.0
2026-01-20 03:00:41.125827,0.0
2026-01-20 03:00:41.437868,0.0
2026-01-20 03:00:41.749923,0.0
2026-01-20 03:00:42.061962,0.0
2026-01-20 03:00:42.374014,0.0
2026-01-20 03:00:42.686066,0.0
2026-01-20 03:00:42.998106,0.0
2026-01-20 03:00:43.310156,0.0
2026-01-20 03:00:43.622210,0.0
2026-01-20 03:00:43.934250,0.0
2026-01-20 03:00:44.246299,0.0
2026-01-20 03:00:44.558349,0.0
2026-01-20 03:00:44.870392,0.0
2026-01-20 03:00:45.182441,0.0
2026-01-20 03:00:45.494492,0.0
2026-01-20 03:00:45.806535,0.0
2026-01-20 03:00:46.118583,0.0
2026-01-20 03:00:46.430634,0.0
2026-01-20 03:00:46.742677,0.0
2026-01-20 03:00:47.054727,0.0
2026-01-20 03:00:47.366777,0.0
2026-01-20 03:00:47.678821,0.0
2026-01-20 03:00:47.990873,0.0
2026-01-20 03:00:48.302920,0.0
2026-01-20 03:00:48.614964,0.0
2026-01-20 03:00:48.927015,0.0
2026-01-20 03:00:49.239064,0.0
2026-01-20 03:00:49.551117,0.0
2026-01-20 03:00:49.863161,0.0
2026-01-20 03:00:50.175206,0.0
2026-01-20 03:00:50.487250,0.0
2026-01-20 03:00:50.799302,0.0
2026-01-20 03:00:51.111340,0.0
2026-01-20 03:00:51.423402,0.0
2026-01-20 03:00:51.735446,0.0
2026-01-20 03:00:52.047493,0.0
2026-01-20 03:00:52.359536,0.0
2026-01-20 03:00:52.671589,0.0
2026-01-20 03:00:52.983643,0.0
2026-01-20 03:00:53.295687,0.0
2026-01-20 03:00:53.607730,0.0
2026-01-20 03:00:53.919782,0.0
2026-01-20 03:00:54.231825,0.0
2026-01-20 03:00:54.543877,0.0
2026-01-20 03:00:54.855925,0.0
2026-01-20 03:00:55.167965,0.0
2026-01-20 03:00:55.480017,0.0
2026-01-20 03:00:55.792067,0.0
2026-01-20 03:00:56.104107,0.0
2026-01-20 03:00:56.416158,0.0
2026-01-20 03:00:56.728211,0.0
2026-01-20 03:00:57.040249,0.0
2026-01-20 03:00:57.352302,0.0
2026-01-20 03:00:57.664355,0.0
2026-01-20 03:00:57.976396,0.0
2026-01-20 03:00:58.288444,0.0
2026-01-20 03:00:58.600496,0.0
2026-01-20 03:00:58.912542,-0.018070453751953878
2026-01-20 03:00:59.224589,0.033575688405767905
2026-01-20 03:00:59.536639,0.0672730800495438
2026-01-20 03:00:59.848690,0.059803738988635266
2026-01-20 03:01:00.160730,-0.0
2026-01-20 03:01:00.472781,0.0
2026-01-20 03:01:00.784829,0.0
2026-01-20 03:01:01.096873,-0.0338752707993814
2026-01-20 03:01:01.408925,-0.03892566939572163
2026-01-20 03:01:01.720977,-0.05232318942660702
2026-01-20 03:01:02.033019,0.0
2026-01-20 03:01:02.345071,0.0
2026-01-20 03:01:02.657116,0.0
2026-01-20 03:01:02.969165,0.0
2026-01-20 03:01:03.281203,0.0
2026-01-20 03:01:03.593266,0.0
2026-01-20 03:01:03.905307,0.0
2026-01-20 03:01:04.217359,0.05447453812956714
2026-01-20 03:01:04.529400,0.09239757760565052
2026-01-20 03:01:04.841451,0.019749642923123756
2026-01-20 03:01:05.153503,0.10044175952322668
2026-01-20 03:01:05.465541,0.0
