time,err_low,err_high,recon_rate
2026-01-20 19:06:47.126497,1.7476769371764567,0.6499065620025203,0.9474762485814534
2026-01-20 19:06:47.438549,1.7904918323972052,0.6677191656667543,0.9726957640357065
2026-01-20 19:06:47.750591,2.4641843925660596,0.9619457220779896,1.3837254018512604
2026-01-20 19:06:48.062649,3.1574828682750664,1.2949304398875514,1.8366312363935218
2026-01-20 19:06:48.374691,0.9114019030610014,0.3211560904021661,0.474950912694579
2026-01-20 19:06:48.686742,1.5796324370536698,0.5809581695901409,0.8494902888441586
2026-01-20 19:06:48.998786,1.183687735280897,0.4243454548255192,0.6247290335666771
2026-01-20 19:06:49.310835,1.43949577469322,0.524609039059876,0.7689737225882012
2026-01-20 19:06:49.622889,1.2980213328478472,0.46875107924364934,0.6887688493317933
2026-01-20 19:06:49.934930,1.15838589140914,0.4146059231102851,0.6106499059848554
2026-01-20 19:06:50.246976,1.1851625924629843,0.42491414651798753,0.6255507445939271
2026-01-20 19:06:50.559029,1.2234340841955957,0.4397087888629214,0.6469134169164493
2026-01-20 19:06:50.871073,1.274287456050707,0.4594795961322816,0.6754184017113442
2026-01-20 19:06:51.183124,1.1560431534035425,0.4137057113315931,0.6093479866150793
2026-01-20 19:06:51.495173,1.0394926491799599,0.3692569066310835,0.544936945702827
2026-01-20 19:06:51.807217,0.7595985297797699,0.26514135761778956,0.3930772831372169
2026-01-20 19:06:52.119265,0.9169096030063368,0.3232084523155693,0.47794309973825
2026-01-20 19:06:52.431317,0.9445744569403431,0.3335388257908171,0.4929958236043921
2026-01-20 19:06:52.743361,0.9821522020370097,0.3476284255327307,0.5135042826599219
2026-01-20 19:06:53.055408,0.8860251183666551,0.31171808869397977,0.4611840915548252
2026-01-20 19:06:53.367462,0.7918017378514703,0.2769357713711674,0.4103500123326318
2026-01-20 19:06:53.679503,0.8163836950183397,0.28597076032597246,0.42356950588855985
2026-01-20 19:06:53.991556,0.5963418732087411,0.20606703714856459,0.3062937147221608
2026-01-20 19:06:54.303603,0.9863604280819139,0.3492104324220086,0.5158054309218452
2026-01-20 19:06:54.615644,1.808434069175781,0.6752139311880296,0.983295440387428
2026-01-20 19:06:54.927697,1.0166113110079003,0.3606074342254485,0.5323738116925121
2026-01-20 19:06:55.239745,1.6263281859277332,0.5999647942090843,0.876559971299556
2026-01-20 19:06:55.551788,NaN,NaN,NaN
2026-01-20 19:06:55.863842,NaN,NaN,NaN
2026-01-20 19:06:56.175889,NaN,NaN,NaN
2026-01-20 19:06:56.487938,NaN,NaN,NaN
2026-01-20 19:06:56.799981,NaN,NaN,NaN
2026-01-20 19:06:57.112030,2.0631478688996236,0.7835719247127622,1.1357807327775473
2026-01-20 19:06:57.424074,2.002659624303301,0.7575032991698579,1.0992258896189546
2026-01-20 19:06:57.736124,NaN,NaN,NaN
2026-01-20 19:06:58.048164,0.9827262939890683,0.3478441956933296,0.5138181554002583
2026-01-20 19:06:58.360224,1.8099430516870283,0.6758450722211619,0.9841877356469251
2026-01-20 19:06:58.672268,0.6394156314660168,0.22153780395583456,0.32906479951637896
2026-01-20 19:06:58.984319,NaN,NaN,NaN
2026-01-20 19:06:59.296361,NaN,NaN,NaN
2026-01-20 19:06:59.608412,1.5647330195852243,0.5749180565682092,0.8408784747140083
2026-01-20 19:06:59.920454,1.6861937546098351,0.6245030113675606,0.9114420316917663
2026-01-20 19:07:00.232510,1.6283239844087942,0.6007797423641883,0.8777196431812101
2026-01-20 19:07:00.544554,1.856807712729895,0.6955096769708332,1.0119648423734222
2026-01-20 19:07:00.856605,1.5233277513532801,0.5581942714059511,0.8170106441169904
2026-01-20 19:07:01.168646,NaN,NaN,NaN
2026-01-20 19:07:01.480695,1.4659392245456488,0.5351634803056814,0.7840848302513749
2026-01-20 19:07:01.792750,NaN,NaN,NaN
2026-01-20 19:07:02.104791,NaN,NaN,NaN
2026-01-20 19:07:02.416842,NaN,NaN,NaN
2026-01-20 19:07:02.728893,NaN,NaN,NaN
