start_time,end_time,Bx,By,Bz,score
2026-01-19 01:14:08,2026-01-19 01:15:04,-6.311999893048776,0.7020000095246357,-2.7620000846373536,0.38674143582081116
2026-01-19 05:22:07,2026-01-19 05:22:37,-7.178999980369312,1.613666644873835,0.4859999999656186,0.3140651611989136
2026-01-19 10:14:36,2026-01-19 10:15:30,-6.491590592790444,1.4668403625770452,-2.6688461570221156,0.23810540589664692
2026-01-19 10:15:32,2026-01-19 10:18:10,-6.48054337782,1.499312825735246,-2.7357995072427306,0.3484781710187916
2026-01-19 10:18:14,2026-01-19 10:20:16,-6.466854450107478,1.5395491131689174,-2.8187610746087537,0.3100341186853146
2026-01-19 15:49:41,2026-01-19 15:50:11,-6.437333297729492,1.3519999504089353,-2.8899999022483827,0.4167921262899612
2026-01-19 15:51:21,2026-01-19 15:52:30,-6.143708226682364,3.2923055608331766,0.8021111187891802,0.3089173042858698
2026-01-19 15:53:15,2026-01-19 15:53:45,-5.975000142867793,3.625000000288128,1.3400000325927977,0.1613350064235597
2026-01-19 15:54:06,2026-01-19 15:54:51,-5.873500120346435,3.6230000076163558,1.712500014225952,0.11027745874696882
2026-01-19 17:29:33,2026-01-19 17:30:03,-5.884000015447382,2.503999948952114,-4.559999848040752,0.14893418144624615
2026-01-19 17:30:56,2026-01-19 17:31:26,-6.127333211951191,2.7801666781931997,-4.80016668097475,0.1074811956371775
2026-01-19 20:34:28,2026-01-19 20:35:24,-7.728937721163129,4.916814644179928,6.808306009556705,0.14080446773733332
2026-01-19 23:45:44,2026-01-19 23:46:57,1.238118391908315,-23.118004586675557,58.57739091326698,0.2766357360791427
2026-01-19 23:47:41,2026-01-19 23:50:07,2.0171111542196494,-13.764388890947586,57.00839473356163,0.3071943432747776
2026-01-20 01:21:24,2026-01-20 01:23:29,-27.37566611980458,34.771744504492084,37.486004817700774,0.22014209123484274
2026-01-20 01:24:26,2026-01-20 01:25:21,-27.260764082308864,34.74263803158271,37.49374924765911,0.2412460317521984
2026-01-20 01:25:21,2026-01-20 01:26:33,-27.41554168087697,34.253417014894076,37.71895751934091,0.13289526312292838
2026-01-20 02:58:13,2026-01-20 02:58:43,-23.50800030974865,38.94599863732156,15.126000022961527,0.13282276945207272
2026-01-20 02:58:54,2026-01-20 03:00:19,-23.120726059601637,39.0520184304972,15.186450673783865,0.2529321125249153
2026-01-20 03:00:45,2026-01-20 03:01:32,-22.345000902811687,39.26833407084147,15.210000356038414,0.13020530086172966
2026-01-20 03:03:27,2026-01-20 03:03:57,-22.3429992680077,39.24899978619884,14.320000076398719,0.10322163706749654
2026-01-20 10:28:40,2026-01-20 10:29:18,-6.140333406754749,5.915416752582678,-16.105583914417853,0.17345354706920402
2026-01-20 14:18:30,2026-01-20 14:19:00,-5.627500057220459,9.22499966621399,-9.674999713897705,0.18436760415950015
2026-01-20 14:19:30,2026-01-20 14:20:52,-5.438264688330459,9.281735418860798,-9.717294305876608,0.18835788841928824
2026-01-20 15:54:38,2026-01-20 15:55:23,-9.756208101754698,9.871749730941568,-7.057500155868304,0.14908435454243352
2026-01-20 15:56:30,2026-01-20 15:57:15,-9.865311181991569,9.7827998443695,-7.198599810256624,0.250478521190555
2026-01-20 17:32:31,2026-01-20 17:33:01,-18.817666308071153,8.941999689989414,0.9600000391869496,0.2931038415771212
2026-01-20 19:06:22,2026-01-20 19:07:43,-15.568294310750849,-11.087503056459362,-12.174784207534596,0.4419066058767341
2026-01-21 01:29:15,2026-01-21 01:29:58,-9.733333110704551,-3.201666712787119,-4.7688888709623525,0.13432216333670643
2026-01-21 03:05:40,2026-01-21 03:06:40,-7.577555526532847,3.3472777181667173,-4.909333374804475,0.13947138262965217
2026-01-21 10:34:46,2026-01-21 10:36:06,-7.569050097482543,-4.558500032438023,1.6381000316483552,0.5109956147250151
2026-01-21 14:27:04,2026-01-21 14:27:34,-4.729999929295931,-2.594166577058786,-4.43516658028772,0.16444875145369542
2026-01-21 14:29:48,2026-01-21 14:30:27,-5.169000077577656,-2.3393334179716967,-4.184333212473623,0.2763275614538537
2026-01-21 16:02:33,2026-01-21 16:03:03,-4.69199981693644,-4.790000152535504,1.4079999685392248,0.1638761965808868
2026-01-21 16:04:08,2026-01-21 16:05:02,-4.623610993176893,-4.768194665536186,1.7481944461910945,0.17335307132751132
2026-01-21 16:06:41,2026-01-21 16:07:11,-4.437333393096924,-4.842666562398275,1.7619999806086222,0.20329795796474537
2026-01-21 17:38:40,2026-01-21 17:39:10,-6.075000127392317,-0.2791666606028836,-1.8775000074320511,0.24179952442395036
2026-01-21 19:17:28,2026-01-21 19:18:23,-5.66836350201413,-2.0311514725189856,-1.074022753048242,0.32413419545780436
2026-01-21 20:53:09,2026-01-21 20:54:39,-5.008752598492769,-2.2681667169816246,-0.15174242022622497,0.6031556226401231
2026-01-21 20:54:44,2026-01-21 20:55:17,-5.429291500886878,-1.3501666900347724,-0.29379165832542636,0.15081020459214955
2026-01-21 22:27:32,2026-01-21 22:29:00,-3.601477628247476,4.593322421944454,2.1272000490211584,0.4935670489821383
2026-01-22 00:02:20,2026-01-22 00:03:16,-5.271250121211603,0.7830000155553398,-1.8794422808544484,0.2350112904438689
2026-01-22 03:15:41,2026-01-22 03:16:18,-6.186250054790435,-3.0278333129201203,-1.4883333423155514,0.24725653847644302
2026-01-22 03:16:41,2026-01-22 03:17:14,-5.998333116241459,-3.556666593123615,-1.1545833197924367,0.11093387800852406
2026-01-22 10:39:43,2026-01-22 10:41:21,1.8883850558029736,-4.470534590464909,7.190293211374739,0.39339598139095117
2026-01-22 14:34:40,2026-01-22 14:35:10,-4.781666593866734,-5.940000172657891,4.493333267063523,0.3500476238368546
2026-01-22 14:38:04,2026-01-22 14:39:56,-4.599858237895991,-6.576304973940573,4.220365279140511,0.20481859956690035
2026-01-22 16:14:03,2026-01-22 16:16:16,-3.5550254464574165,-8.120355303689003,-1.0731016517089207,0.31311914285142917
2026-01-22 16:16:25,2026-01-22 16:16:55,-3.7699999809265137,-8.160000165303549,-0.9199999968210856,0.10071481604912336
2026-01-22 17:46:29,2026-01-22 17:47:43,-6.517021948199378,-4.080280725734938,2.5393025940856635,0.27857159925716746
2026-01-22 17:50:18,2026-01-22 17:51:14,-6.053333408928787,-4.716333294850775,2.43633333809829,0.4400559330027387
2026-01-22 17:51:17,2026-01-22 17:52:15,-6.615499972519174,-3.1155000354241933,2.915249925109238,0.18943598114691831
2026-01-22 19:25:54,2026-01-22 19:27:32,-7.703964516408215,0.24030303009703396,-0.11376262489064523,0.2504252045794438
2026-01-22 19:27:42,2026-01-22 19:28:13,-7.71041669447562,0.5733333083626349,-0.0954166699591345,0.13307688567471154
2026-01-22 20:59:55,2026-01-22 21:01:07,-7.501823019024808,1.5358021162439703,0.985635430358434,0.5738917252725512
2026-01-22 22:33:32,2026-01-22 22:34:07,-5.3812499164137995,-0.4692499908898026,-7.157000088803471,0.25509889213214826
2026-01-23 00:08:51,2026-01-23 00:09:47,-3.140113334476683,-7.014593125047022,-3.9783199169280623,0.230257471158673
2026-01-23 01:44:29,2026-01-23 01:45:59,-6.672366749938418,-0.6281296505462874,-5.031300177589086,0.2877509515285841
2026-01-23 03:21:38,2026-01-23 03:22:57,0.3359318402004614,-4.663295300432139,-2.436136358911952,0.2569820333796567
2026-01-23 10:49:07,2026-01-23 10:50:20,-2.2682521116303413,-3.9041965587984007,-0.3415427155873308,0.33877309781246706
2026-01-23 14:42:36,2026-01-23 14:43:33,-5.245250212167021,2.6857500437387762,-0.0586250047752141,0.3073989365243356
2026-01-23 14:44:49,2026-01-23 14:46:14,-4.465697430674275,2.604644816287542,1.1326710271262135,0.38353846466578984
2026-01-23 16:18:03,2026-01-23 16:19:01,-2.508333419463856,1.1468888931617969,-5.170833314772204,0.22343395783082856
2026-01-23 16:20:57,2026-01-23 16:21:49,-3.0646666050526705,0.6861666526938782,-4.894500009090732,0.3010665528462941
