time,err_low,err_high,recon_rate
2025-10-06 23:36:03.176362,NaN,NaN,NaN
2025-10-06 23:36:03.488410,NaN,NaN,NaN
2025-10-06 23:36:03.800455,0.3372181440464856,0.11462301919934323,0.17109092727073064
2025-10-06 23:36:04.112501,0.5694156042667966,0.19621338988909873,0.2918566742423764
2025-10-06 23:36:04.424542,0.5870643380090437,0.20250682932197364,0.30113697819052726
2025-10-06 23:36:04.736595,1.2747033155740788,0.45841669044771477,0.6743275401563278
2025-10-06 23:36:05.048637,1.3193506488160784,0.4757875339872727,0.6993674333019021
2025-10-06 23:36:05.360679,0.9095848274723687,0.31988323719349676,0.4733119102089479
2025-10-06 23:36:05.672730,NaN,NaN,NaN
2025-10-06 23:36:05.984782,NaN,NaN,NaN
2025-10-06 23:36:06.296821,NaN,NaN,NaN
2025-10-06 23:36:06.608868,0.5488486225382847,0.18889591759055951,0.28106006492322516
2025-10-06 23:36:06.920920,0.6006512894099961,0.20736084976937905,0.30829131333008386
2025-10-06 23:36:07.232965,0.47530396849185563,0.1628748585159286,0.24261245702288428
2025-10-06 23:36:07.545007,0.8536032051320759,0.299182083266507,0.44307086109530874
2025-10-06 23:36:07.857058,1.6027197526898018,0.5883215259525166,0.8606999236098213
2025-10-06 23:36:08.169094,NaN,NaN,NaN
2025-10-06 23:36:08.481145,NaN,NaN,NaN
2025-10-06 23:36:08.793198,NaN,NaN,NaN
2025-10-06 23:36:09.105255,NaN,NaN,NaN
2025-10-06 23:36:09.417285,NaN,NaN,NaN
2025-10-06 23:36:09.729334,NaN,NaN,NaN
2025-10-06 23:36:10.041372,NaN,NaN,NaN
2025-10-06 23:36:10.353423,NaN,NaN,NaN
2025-10-06 23:36:10.665476,NaN,NaN,NaN
2025-10-06 23:36:10.977535,1.2927735612500224,0.4654356674161238,0.6844497406657355
2025-10-06 23:36:11.289561,0.749810783123866,0.26116874836203113,0.3874008081033957
2025-10-06 23:36:11.601615,1.4277262425880872,0.518356080729802,0.760574792335913
2025-10-06 23:36:11.913659,1.2224554177596705,0.43821020245599196,0.645153882381598
2025-10-06 23:36:12.225702,1.272075354851308,0.4573972259217272,0.6728568523616766
2025-10-06 23:36:12.537753,1.3219170935266304,0.47678898101718276,0.7008098909896749
2025-10-06 23:36:12.849804,0.6613442165005645,0.22913978422483852,0.34035484285812445
2025-10-06 23:36:13.161839,0.31511696743731993,0.1069723847947351,0.15972359083591697
2025-10-06 23:36:13.473889,0.379734278715624,0.12939633998599268,0.19302011714922834
2025-10-06 23:36:13.785931,0.5478986570553966,0.18855836252028774,0.28056185454231575
2025-10-06 23:36:14.097979,0.6170157396006677,0.21321756017638555,0.3169195709770025
2025-10-06 23:36:14.410031,0.6880092473678948,0.2387581252191658,0.354496290857664
2025-10-06 23:36:14.722069,1.0390251289742864,0.36828959974770686,0.5438188644913162
2025-10-06 23:36:15.034115,NaN,NaN,NaN
2025-10-06 23:36:15.346165,NaN,NaN,NaN
2025-10-06 23:36:15.658280,NaN,NaN,NaN
2025-10-06 23:36:15.970258,NaN,NaN,NaN
2025-10-06 23:36:16.282305,NaN,NaN,NaN
2025-10-06 23:36:16.594345,NaN,NaN,NaN
2025-10-06 23:36:16.906396,NaN,NaN,NaN
2025-10-06 23:36:17.218443,NaN,NaN,NaN
2025-10-06 23:36:17.530493,NaN,NaN,NaN
2025-10-06 23:36:17.842535,1.835443680422307,0.6838005126737011,0.9963919600140545
2025-10-06 23:36:18.154580,NaN,NaN,NaN
2025-10-06 23:36:18.466622,NaN,NaN,NaN
2025-10-06 23:36:18.778675,11.623354145216112,11.623354145216112,11.623354145216112
