time,err_low,err_high,recon_rate
2025-09-28 01:30:45.666713,0.42752337768069715,0.14608949621759532,0.21776594532183383
2025-09-28 01:30:45.978754,0.3698839524772652,0.1259666219726954,0.1879317456358905
2025-09-28 01:30:46.290801,0.4365619609640683,0.1492573906149132,0.222457994805388
2025-09-28 01:30:46.602851,0.5060985054905219,0.17374205875381718,0.25868005206159045
2025-09-28 01:30:46.914902,0.7215081149863289,0.2508833378347862,0.3723076002724904
2025-09-28 01:30:47.226941,1.0280266384414642,0.3641433460248503,0.5377921720791297
2025-09-28 01:30:47.538989,NaN,NaN,NaN
2025-09-28 01:30:47.851032,NaN,NaN,NaN
2025-09-28 01:30:48.163077,NaN,NaN,NaN
2025-09-28 01:30:48.475130,2.8619698684448336,1.1413075335404117,1.6318568231129487
2025-09-28 01:30:48.787178,1.1447704428885268,0.4084013551095543,0.6020271560012147
2025-09-28 01:30:49.099215,0.9389864799260276,0.33080891440726634,0.4892522046522672
2025-09-28 01:30:49.411270,1.3381864079784784,0.48313867707771846,0.7099552036468629
2025-09-28 01:30:49.723309,1.3842282416390623,0.5011949468877022,0.7359283626832287
2025-09-28 01:30:50.035359,1.4826070682616077,0.5401254915143455,0.7917941179096292
2025-09-28 01:30:50.347406,NaN,NaN,NaN
2025-09-28 01:30:50.659457,NaN,NaN,NaN
2025-09-28 01:30:50.971499,NaN,NaN,NaN
2025-09-28 01:30:51.283545,NaN,NaN,NaN
2025-09-28 01:30:51.595590,NaN,NaN,NaN
2025-09-28 01:30:51.907641,1.8405083615573927,0.6858976782408133,0.9993646247583005
2025-09-28 01:30:52.219683,1.0805128630539,0.3839629021458691,0.5665875319521236
2025-09-28 01:30:52.531736,1.5476964424532371,0.566147685549866,0.8290344091325311
2025-09-28 01:30:52.843777,NaN,NaN,NaN
2025-09-28 01:30:53.155826,3.4170002893507982,1.4165870687064044,2.002851325565346
2025-09-28 01:30:53.467863,2.0735201119834894,0.7844527952265877,1.1382743648132372
2025-09-28 01:30:53.779915,NaN,NaN,NaN
2025-09-28 01:30:54.091961,NaN,NaN,NaN
2025-09-28 01:30:54.404011,3.6204847988838407,1.5230499680661198,2.144120534678035
2025-09-28 01:30:54.716055,2.2146199318880444,0.8455993076191101,1.2238868750760514
2025-09-28 01:30:55.028151,2.1008094862833677,0.7961910633233795,1.1547431283372385
2025-09-28 01:30:55.340142,1.3722211989737656,0.49647615787361643,0.7291444022466851
2025-09-28 01:30:55.652190,1.1314667600632073,0.4033258858683555,0.5946729475708473
2025-09-28 01:30:55.964241,1.2249818665982648,0.4391792109042921,0.6465558855060605
2025-09-28 01:30:56.276278,1.3194873816612616,0.4758349168906217,0.6994378325244934
2025-09-28 01:30:56.588329,1.4148133644629883,0.5132469059575796,0.7532426169018743
2025-09-28 01:30:56.900380,1.8958364640847956,0.7090318216724676,1.0320739740069864
2025-09-28 01:30:57.212417,2.45074209571565,0.9504998858214865,1.3697526343614561
2025-09-28 01:30:57.524468,1.6228571741821967,0.596462804202201,0.8723157997586544
2025-09-28 01:30:57.836519,1.0412266847065945,0.3691159310561579,0.5450212634440363
2025-09-28 01:30:58.148555,1.1814608579940753,0.42244211180472896,0.6223553784282246
2025-09-28 01:30:58.460606,1.268309726329266,0.45593152890932376,0.6707441790978976
2025-09-28 01:30:58.772657,0.9651252085573578,0.3405572402724,0.5034614317412387
2025-09-28 01:30:59.084702,1.0486639599925922,0.3719211524863009,0.5490981218164609
2025-09-28 01:30:59.396746,1.4743840965748678,0.5368531132742058,0.7871052589242744
2025-09-28 01:30:59.708796,2.2794614432759963,0.8740805550483812,1.2636159116376053
2025-09-28 01:31:00.020833,2.356646284344385,0.9083028189860608,1.3112292998623114
2025-09-28 01:31:00.332884,1.8854488272680332,0.7046759251813659,1.02592000287305
2025-09-28 01:31:00.644935,2.3407050592726004,0.9012061157632402,1.3013667560408124
2025-09-28 01:31:00.957021,3.168788322214996,1.2908337878755813,1.8344061142246038
2025-09-28 01:31:01.269025,3.2659912239436055,1.339555585837508,1.8998729002334747
2025-09-28 01:31:01.581072,3.3622834254526426,1.3884844107007503,1.9653572986965793
2025-09-28 01:31:01.893115,3.457634095609766,1.4375989889807612,2.0308292554080873
2025-09-28 01:31:02.205163,NaN,NaN,NaN
2025-09-28 01:31:02.517213,2.9643822932733235,1.190512776527305,1.6987841740237009
2025-09-28 01:31:02.829287,1.4511470277538359,0.527623987755914,0.7738742639773101
2025-09-28 01:31:03.141300,1.6433004853217272,0.6047582625410808,0.884140191870761
2025-09-28 01:31:03.453350,2.2162833773323105,0.8463269334428608,1.2249030232666374
2025-09-28 01:31:03.765394,1.879608681488488,0.7022295038371122,1.0224627393859176
2025-09-28 01:31:04.077439,1.446684940181968,0.5258548389096511,0.7713368158514309
2025-09-28 01:31:04.389488,1.4591254897430344,0.530789787681725,0.7784139532854882
2025-09-28 01:31:04.701540,NaN,NaN,NaN
2025-09-28 01:31:05.013577,4.135271821054565,1.8069289833115065,2.514941097865505
2025-09-28 01:31:05.325626,2.143739707689966,0.8147418785447944,1.1807371218269234
2025-09-28 01:31:05.637670,2.2377696125433975,0.8557397761244845,1.2380427706286488
2025-09-28 01:31:05.949719,NaN,NaN,NaN
2025-09-28 01:31:06.261765,NaN,NaN,NaN
2025-09-28 01:31:06.573816,NaN,NaN,NaN
2025-09-28 01:31:06.885858,NaN,NaN,NaN
