index,start_time,end_time,Bx,By,Bz,score,file_name,B,cone_angle,clock_angle,label,aci_file,ead_file
1,2025-11-10 19:28:08,2025-11-10 19:29:30,6.290750126012799,-0.7130723093135748,-2.387254638900364,0.6488105624831956,TracersDispersionEvent_TS2_2025-11-10T19:28:08_2025-11-10T19:29:30.png,6.766165382045517,21.60624092090939,196.63087104002736,BigBx,data/Nov11_Storm/aci/ts2_l2_aci_ipd_20251110_v1.0.0.cdf,data/Nov11_Storm/ead/ts2_def_ead_20251110_v0.10.1.cdf
2,2025-11-10 21:02:49,2025-11-10 21:04:00,6.247788993517058,-0.3383585738570912,-2.8300280213305595,0.5843695589363733,TracersDispersionEvent_TS2_2025-11-10T21:02:49_2025-11-10T21:03:55.png,6.867198295777664,24.522031463290443,186.81792830598857,BigBx,data/Nov11_Storm/aci/ts2_l2_aci_ipd_20251110_v1.0.0.cdf,data/Nov11_Storm/ead/ts2_def_ead_20251110_v0.10.1.cdf
3,2025-11-10 22:37:42,2025-11-10 22:39:09,6.318348951399365,-1.2990596664646044,-3.541055421410233,0.3472005145163235,TracersDispersionEvent_TS2_2025-11-10T22:37:42_2025-11-10T22:39:09.png,7.358543537017593,30.83563792592089,200.14589716125644,BigBx,data/Nov11_Storm/aci/ts2_l2_aci_ipd_20251110_v1.0.0.cdf,data/Nov11_Storm/ead/ts2_def_ead_20251110_v0.10.1.cdf
59,2025-11-15 20:06:58,2025-11-15 20:08:10,5.360333299253686,0.0150000001300467,-2.2460000169161582,0.3424741273087149,TracersDispersionEvent_TS2_2025-11-15T20:06:58_2025-11-15T20:08:10.png,5.811876990704397,22.734324607222426,179.61735355466203,BigBx,data/Nov11_Storm/aci/ts2_l2_aci_ipd_20251115_v1.0.0.cdf,data/Nov11_Storm/ead/ts2_def_ead_20251115_v0.10.1.cdf
60,2025-11-15 21:42:11,2025-11-15 21:43:53,5.560482743897772,-1.5434109253110817,-1.1419396689306092,0.3466409503760223,TracersDispersionEvent_TS2_2025-11-15T21:42:11_2025-11-15T21:43:53.png,5.882610971076692,19.04885901142367,233.50298277927246,BigBx,data/Nov11_Storm/aci/ts2_l2_aci_ipd_20251115_v1.0.0.cdf,data/Nov11_Storm/ead/ts2_def_ead_20251115_v0.10.1.cdf
78,2025-11-16 21:50:26,2025-11-16 21:51:50,3.604166736091914,-3.0462423938145737,-2.480393990025658,0.2233646195399065,TracersDispersionEvent_TS2_2025-11-16T21:50:26_2025-11-16T21:51:50.png,5.3312254622347375,47.46437824310933,230.8458967511257,ByDominant,data/Nov11_Storm/aci/ts2_l2_aci_ipd_20251116_v1.0.0.cdf,data/Nov11_Storm/ead/ts2_def_ead_20251116_v0.10.1.cdf
